Date,Open,High,Low,Close
2021-05-20,27.75,28,27.4,27.765
2021-05-21,27.77,28.07,27.21,27.53
2021-05-24,27.58,27.9,27.47,27.77
2021-05-25,27.78,28.03,27.47,27.996
2021-05-26,28.0035,28.23,27.61,27.68
2021-05-27,27.67,27.89,27.5,27.849
2021-05-28,27.88,27.97,27.4,27.93
2021-05-31,27.95,28.14,27.88,28.0395
2021-06-01,28.07,28.55,27.83,27.893
2021-06-02,27.88,28.19,27.6865,28.173
2021-06-03,28.17,28.24,27.0385,27.4305
2021-06-04,27.4545,27.84,27.23,27.78
2021-06-07,27.8,27.95,27.48,27.889
2021-06-08,27.89,27.98,27.51,27.609
2021-06-09,27.62,28,27.52,27.77
2021-06-10,27.79,28.03,27.47,27.996
2021-06-11,28,28.29,27.88,27.9125
2021-06-14,27.95,28.02,27.48,27.86
2021-06-15,27.87,27.9,27.4,27.66
2021-06-16,27.67,27.83,26.63,26.986
2021-06-17,26.94,27.25,25.78,25.906
2021-06-18,25.9,26.4995,25.74,25.7625
2021-06-21,25.81,26.08,25.56,25.955
2021-06-22,25.96,26.04,25.7,25.768
2021-06-23,25.78,26.3,25.7555,25.88
2021-06-24,25.87,26.17,25.82,25.934
2021-06-25,25.93,26.3,25.8971,26.07
2021-06-28,26.13,26.22,25.8,26.098
2021-06-29,26.1,26.12,25.54,25.775
2021-06-30,25.77,26.15,25.71,26.138
2021-07-01,26.13,26.4,25.95,26.026
2021-07-02,26.03,26.57,25.98,26.48
2021-07-05,26.49,26.82,26.3691,26.4775
2021-07-06,26.4585,26.77,26.01,26.152
2021-07-07,26.17,26.44,25.99,26.14
2021-07-08,26.17,26.21,25.82,25.928
2021-07-09,25.95,26.21,25.77,26.12
2021-07-12,26.1,26.29,25.87,26.195
2021-07-13,26.22,26.35,25.94,25.981
2021-07-14,25.99,26.4655,25.94,26.2455
2021-07-15,26.24,26.395,26.16,26.345
2021-07-16,26.34,26.45,25.6,25.66
2021-07-19,25.68,25.765,24.9965,25.176
2021-07-20,25.1825,25.28,24.82,24.94
2021-07-21,24.93,25.315,24.76,25.262
2021-07-22,25.28,25.467,25.02,25.4285
2021-07-23,25.4285,25.4755,25.01,25.1865
2021-07-26,25.21,25.44,25.12,25.19
2021-07-27,25.21,25.27,24.5,24.689
2021-07-28,24.7,25.01,24.62,24.968
2021-07-29,24.99,25.8,24.9668,25.513
2021-07-30,25.53,25.645,25.35,25.48
2021-08-02,25.52,25.64,25.3,25.406
2021-08-03,25.4,25.6,25.25,25.525
2021-08-04,25.53,26.01,25.33,25.391
2021-08-05,25.3825,25.515,25.09,25.1455
2021-08-06,25.1625,25.22,24.1975,24.3095
2021-08-09,24.33,24.37,22.25,23.447
2021-08-10,23.45,23.675,23.24,23.341
2021-08-11,23.34,23.595,23.21,23.545
2021-08-12,23.54,23.552,23.01,23.181
2021-08-13,23.19,23.835,23.17,23.72
2021-08-16,23.74,23.905,23.43,23.844
2021-08-17,23.85,23.96,23.58,23.658
2021-08-18,23.68,23.83,23.3,23.515
2021-08-19,23.53,23.54,23.1,23.245
2021-08-20,23.24,23.33,22.88,23.04
2021-08-23,23.02,23.7,22.98,23.638
2021-08-24,23.63,23.965,23.54,23.868
2021-08-25,23.85,23.895,23.59,23.839
2021-08-26,23.85,23.875,23.44,23.554
2021-08-27,23.57,24.12,23.35,24.07
2021-08-30,24.0255,24.2165,23.9,24.0365
2021-08-31,24.0185,24.2085,23.8075,23.8915
2021-09-01,23.8975,24.2685,23.74,24.1455
2021-09-02,24.1395,24.2205,23.78,23.897
2021-09-03,23.9135,24.8725,23.8595,24.7095
2021-09-06,24.7975,24.8215,24.63,24.6945
2021-09-07,24.7005,24.8295,24.1655,24.3195
2021-09-08,24.3305,24.4145,23.9095,23.9395
2021-09-09,23.94,24.2935,23.8378,24.0415
2021-09-10,24.0645,24.3015,23.74,23.7555
2021-09-13,23.7605,23.8585,23.38,23.7455
2021-09-14,23.7475,23.9645,23.4585,23.8595
2021-09-15,23.8595,23.9105,23.66,23.8465
2021-09-16,23.8525,23.97,22.6,22.9065
2021-09-17,22.9295,23.1395,22.33,22.3935
2021-09-20,22.3665,22.5155,22.0385,22.2745
2021-09-21,22.2835,22.7245,22.23,22.4925
2021-09-22,22.484,23.1455,22.4551,22.6985
2021-09-23,22.7125,22.8835,22.461,22.5145
2021-09-24,22.5245,22.8025,22.1,22.3725
2021-09-27,22.4065,22.8495,22.38,22.629
2021-09-28,22.6145,22.6725,22.1,22.4585
2021-09-29,22.4655,22.5545,21.4225,21.5345
2021-09-30,21.539,22.2375,21.47,22.1755
2021-10-01,22.1875,22.5875,21.98,22.5015
2021-10-04,22.5025,22.7695,22.2865,22.6815
2021-10-05,22.6845,22.6855,22.3755,22.6215
2021-10-06,22.6245,22.6815,22.2175,22.6195
2021-10-07,22.612,22.8085,22.3905,22.5905
2021-10-08,22.5776,23.1865,22.4385,22.6465
2021-10-11,22.6725,22.8235,22.5053,22.5825
2021-10-12,22.5985,22.7615,22.3485,22.5625
2021-10-13,22.5435,23.2445,22.4745,23.0915
2021-10-14,23.0955,23.5825,22.9035,23.5185
2021-10-15,23.5265,23.5915,23.0715,23.3225
2021-10-18,23.3275,23.4555,23.0205,23.1965
2021-10-19,23.194,24.1205,23.1885,23.6675
2021-10-20,23.6357,24.4215,23.5745,24.2985
2021-10-21,24.3085,24.4855,24,24.1535
2021-10-22,24.125,24.8285,24.1245,24.3335
2021-10-25,24.37,24.6175,24.294,24.5715
2021-10-26,24.5496,24.5715,23.8815,24.1555
2021-10-27,24.1605,24.2535,23.8415,24.0655
2021-10-28,24.0595,24.2435,23.9635,24.0755
2021-10-29,24.0825,24.0875,23.6625,23.8785
2021-11-01,23.8015,24.0895,23.7515,24.0135
2021-11-02,24.0135,24.0665,23.3925,23.5165
2021-11-03,23.5145,23.6225,23.0275,23.5905
